Name;Phone;Email;City;Address;WorkingTime
"ООО ""Стимул""";;;Краснодар;;
Флагман КРД;;;Краснодар;;
Формула;;;Краснодар;;
PEGAS;;;Краснодар;;
Звездный;;;Краснодар;;
Bericar123;;;Краснодар;;
Партнер-Юг;;;Краснодар;;
Приоритет + Моментум;;;Краснодар;;
Favorite;;;Краснодар;;
Драйвер;;;Краснодар;;
Millenium;;;Краснодар;;
PRO TAXI REGION;;;Краснодар;;
01-23-00;;;Краснодар;;
AntaTaxi;;;Краснодар;;
Феникс;;;Краснодар;;
Такси Бразилия;;;Краснодар;;
Фаворит КРД;;;Краснодар;;
Стрелец;;;Краснодар;;
Белый Парк;;;Краснодар;;
BORDER;;;Краснодар;;
Яртакси;79135399118;;Красноярск;ул. Мира, д. 51.;с 10.00 до 17.00.
Мир;79135323899;vildmaks@yandex.ru;Красноярск;ул. Вавилова, д. 41Б-113.;
АвтоFresh;79535858966;Autofresh@indox.ru;Красноярск;ул. Караульная, д. 25Д/2.;с 10.00 до 20.00, Пн-Пт.
Альфа-такси Красноярск;79232911911;park-911@yandex.ru;Красноярск;ул. 4-ая Дальневосточная,  д. 63 стр. 1.;с 11.00 до 17.00, Пн-Пт.
ЭльКрас;79832875443;ellkras@yandex.ru;Красноярск;ул. Рокосовского,  д. 11.;с 10.00 до 18.00.
Такси ДС;79135320088;dnakaznov1@yandex.ru;Красноярск;ул. Маерчака, д. 53Г.;с 9.00 до 17.00.
Такси Шеф;79658922546;taxizheleznogorsk@yandex.ru;Красноярск;ул. Свердлова, д. 35.;
ИП Амиров Тимур Красноярск;79649642255;amirov.part@yandex.ru;Красноярск;;
Legal Team 2;79232725859;Job@taxipark.city;Красноярск;ул. Караульная, д. 34А.;с 9.00 до 18.00.
Антарес база;79535884597;ivan.antares2018@yandex.ru;Красноярск;;
Авто Стандарт;79029271203;autostandar@yandex.ru;Красноярск;г. Красноярк, ул. Академика Павлова 1, стр. 2, оф 236.;с 10.00 до 18.00, Пн-Пт
Dream Team;2509898;Dumacdk1@mail.ru;Красноярск;ул. Вавилова, 2А, стр.18, офис 303.;с 10.00 до 18.00.
Альянс;78007004858;24uber@gmail.com;Красноярск;ул. Молокова, 37А, офис 3-06.;с 9.00 до 19.00.
ИП Ластовский В.П;79082212809;vitaly.lastovsky@yandex.ru;Красноярск;ул. Историческая, д.116;с 10.00 до 15.00, Пн-Сб.
СитиПарк;79233555886;cityparkkrsk@yandex.ru;Красноярск;ул. Красномосковская, 76, пом. 17, офис 2.;Круглосуточно.
Пассажир Красноярск;79676123172;passazhir674936@yandex.ru;Красноярск;;
Трезвый водитель;73912711333;taxi.yandex24@gmail.com;Красноярск;ул. Ленина, 221А.;с 10.00 до 21.00, Пн-Пт.
Auto Standart;;;Красноярск;;
БархатTaxoПарк;;;Красноярск;;
Красавторент плюс;;;Красноярск;;
Express;;;Красноярск;;
Звёздный;;;Красноярск;;
ТАКСИ ХАРЭТС;;;Красноярск;;
Prime Такси;;;Красноярск;;
"ООО ""Красавто""";;;Красноярск;;
Треал;;;Красноярск;;
Антарес;;;Красноярск;;
Гусли;;;Красноярск;;
Авторитет;;;Красноярск;;
Город Такси;;;Красноярск;;
Легенда 2,5%;;;Красноярск;;
Ё-такси;;;Красноярск;;
Nadezhda;;nadezhdataxi@mail.ru;Липецк и область;ул. Механизаторов, 15 Б, оф. 1;
ШЕФ;;ploton48@yandex.ru;Липецк и область;ул. Катукова, 5, офис 5;
ЯТАКСИ48;;yaroslavwin@yandex.ru;Липецк и область;ул. Советская, 66б, офис 301;
ВиРус;;Rkhodykin@yandex.ru;Липецк и область;;
БУМЕРАНГ;;taxilip@yandex.ru;Липецк и область;ул. Гоголя, д.1;
Надежда Л;;duhan4@yandex.ru;Липецк и область;Орловское шоссе, 10А, 2 эт, оф.1;
Победа;;Zawalenkow.alex@yandex.ru;Липецк и область;ул. Тельмана, оф.5;
Клуб Такси;;zakaztroyka@yandex.ru;Липецк и область;ул. Космонавтов, 2;
48 РЕГИОН;;acm48@mail.ru;Липецк и область;ул. Перова, 2Ж , офис 7;
Такси СПАРТАК;;spartak-lipetzk11306494@yandex.ru;Липецк и область;ул. Терешковой, 11/1;
Гранд-Такси;;l81l@mail.ru;Липецк и область;ул. Опытная, 11В/1;
Такси Юг;;metrika.capital-invest26@yandex.ru;Махачкала;—;
Каспий;;kaspiytaxi@yandex.ru;Махачкала;ул.Братьев Нурбагандовых, 47б;
Taxi-Lucky;;taxi-lucky05@yandex.ru;Махачкала;—;
Мусаффир;;musafir500@yandex.ru;Махачкала;—;
Хаял;;ismailov010@mail.ru;Махачкала;ул. Коркмасова, 49;
LIVE;;malaxova.t.v@yandex.ru;Махачкала;—;
ООО «Такси Столица»;;Аrturaliev631@yandex.ru;Махачкала;ул. Коркмасова, 18, к.205, 2 этаж;
06-06-02;79851670355;slukhay@yandex.ru;Москва и область;;
1520;79253772564;;Москва и область;;
ИП БАЛАНДИН РУСТАМ РАДЖАБОВИЧ;79197779439;rustambalandin1989@ya.ru;Москва и область;ул. Гришина,  д. 23.;с 9.00 до 21.00.
Миг;79013693286;Sergei198426@yandex.ru;Москва и область;;
Gold Taxi;79154155590;aper.4@yandex.ru;Москва и область;ул. Широкая, д. 12.;с 10.00 до 22.00.
10 Рубликов Заказ;79263608166;qqq523@mail.ru;Москва и область;;
6o6;74951201215;;Москва и область;ул. Борисовские пруды,  д. 1с1.;с 10.00  до 19.00.
7 Таксопарк;79055639061;info@7-taxi.ru;Москва и область;ул. Новомарьинская , д. 18, пом.3, 1 этаж;с 9.00 до 20.00.
а1-такси;79295985505;nosko.sk@gmail.com;Москва и область;1-я ул. Измайловского зверинца, д.8.;с 10.00 до 19.00.
авеню такси;79636904444;;Москва и область;ул. Академика Анохина, д. 5К1.;с 9.00 до 17.00.
Авто Партнер;79153003008;Platkov-m@yandex.ru;Москва и область;;
Авто Финанс;79653777111;afstaxi@yandex.ru;Москва и область;ул. 5-я Кабельная, д. 2с1, 2 этаж.;с 10.00 до 19.00.
АВТО ЮРОЛ;79164725600;avtoyrol@yandex.ru;Москва и область;ул.Пятницкое шоссе, д. 45, кв. 11;с 9.00 до 22.00.
Авторент;79169994083;autorentmsk@gmail.com;Москва и область;Московская область, г. Мытищи, ул. Колонцова, д.5, корпус  лит. 02Б, комната 512;с 10.00 до 17.00, Пн-Пт, с 11.00 до 14.00, Сб.
АвторТакси2018;79629142777;taximatvey777@yandex.ru;Москва и область;ул. Фадеева, д. 6с2.;Круглосуточно.
АЗАТ ТАКСИ;79266738077;ats-81@mail.ru;Москва и область;;
Азимут - Такси;74959237555;azimuttaxi@yandex.ru;Москва и область;ул. Осенняя, д. 23.;с 12.00 до 20.00.
Азимут-ТК;74957277130;Azimyt-tk@mail.ru;Москва и область;г. Москва, ул. Лобачевского, д. 45 .;с 9.00 до 22.00.
Азия;79859682545;komilov.temurmalik@ya.ru;Москва и область;ул. Золоторожский вал, д. 38, офис 12;с 10.00 до 20.00.
Азия-Ордо;79163974552;azia-ordo@yandex.ru;Москва и область;ул.Братиславская, д.8;с 10.00 до 21.00.
АИС-Т;79164320818;Aistransmsk@gmail.com;Москва и область;;
Айсберг;79266049999;v2390027@yandex.ru;Москва и область;ул. Люблинская, д. 70.;с 10.00 до 20.00.
Акбарс;79671368117;akbars.taxi@ya.ru;Москва и область;г. Москва, ул. Варшавское ш. д. 129, корп. 2, оф. 207;с 08.00 до 22.00.
Акнада;79151700011;Taxi_Moscow@bk.ru;Москва и область;;
Аксима Групп;79136472336;max.khlestunov@gmail.com;Москва и область;;
АКСТЕЛ;79151212266;maks_karpov_94@bk.ru;Москва и область;ул. Артековская, д. 5к1.;с 08.00 до 23.00.
Алатырь;74992880738;rpzakaz@yandex.ru;Москва и область;ул. Строителей,  д. 7.;с 10.00 до 20.00.
Алиас;79691234445;Abramyanat@mail.ru;Москва и область;;
АллоГараж;74999949109;allo.garage.taxi@ya.ru;Москва и область;;
Алые Паруса OZ;79031444410;ssn2806@gmail.com;Москва и область;;
Альбатрос;79255888088;ds300581@yandex.ru;Москва и область;;
Альбатрос;79585623333;Armen1925@yandex.ru;Москва и область;ул. 2-ой Сельскохозяйственный проезд,  д. 6 стр. 5.;с 10.00 до 18.00.
Альфа-Лидер;79653031624;alfa-lider-lead@yandex.ru;Москва и область;ул. Исаковского, д. 33.;с 10.00 до 18.00.
Ами-1;74957670717;arshaktaxi888@yandex.ru;Москва и область;;
АНИРА ТАКСИ;79162755555;gadyan.a@yandex.ru;Москва и область;;
Анналайн;79995169689;angurieva@yandex.ru;Москва и область;;
Арманд;79267431507;armand.taxi@yandex.ru;Москва и область;;
Армэд;74993916578;taxi-armed@yandex.ru;Москва и область;г. Москва, ул. Речников, д. 19, помещение №4-П;с 9.00 до 19.00, Пн-Пт.
АРСИТАКСИ;79267778138;arsitaxi@yandex.ru;Москва и область;ул. Докукина, д. 16к4.;с 9.00 до 21.00.
АСБТ;79779392838;asbtaxi@yandex.ru;Москва и область;;
База190;79670190190;klinlogist1@yandex.ru;Москва и область;;
Бай Шах;79265071515;rinatabyzov@yandex.ru;Москва и область;;
Бизнес-Эталон;79881625820;sermercedes@yandex.ru;Москва и область;;
Бонус;79261043459;bbonus2019@yandex.ru;Москва и область;;
Бриз;74950757488;;Москва и область;ул. Тарный пр-д, д.11.;с 10.00 до 20.00.
БульдогАвто;79774603487;taxidoki@ya.ru;Москва и область;;
БЮЛЛЕР;79255170656;bueller.taxi@yandex.ru;Москва и область;;
Ванин и Партнёры;79160222111;;Москва и область;ул. Ижорская, д.5;с 10.00 до 19.00.
Василёк;79867464172;kuznetcova.82@mail.ru;Москва и область;;
Вега;79257940451;a.syryamin@yandex.ru;Москва и область;;
ВЕКТОР;74957447337;info@vector.taxi;Москва и область;ул. Варшавское шоссе, д.1с1;с 11.00 до 20.00, Пн-Пт.
Вектор-Плюс;79165843183;sabaev@starkkraft.ru;Москва и область;;
Верба;79857734913;taxi.verba@yandex.ru;Москва и область;;
Витакси;79995555535;2561144@mail.ru;Москва и область;ул. Волгоградский пр-кт, д. 93к2.;с 10.00 до 18.00.
Восток;79651782995;Askarov321@gmail.com;Москва и область;ул. Василия Петушкова, д. 3.;с 9.00 до 19.00.
Вт-Такси (Витакси);74952561144;2561144@mail.ru;Москва и область;ул. Волгоградский пр-т, д. 93к2;с 9.00 до 19.00.
Вылет-Плюс;74952953315;I.P.NEKRASOV@yandex.ru;Москва и область;;
Высота;79253279250;Height.taxi@yandex.ru;Москва и область;ул.Первомайская, д. 3А, оф.10;с 10.00 до 16.00, Пн-Пт, с 10.00 до 13.00, Сб-Вс.
ГОРОД;74996782030;gorodtaxi@inbox.ru;Москва и область;ул. Смирновская, д. 19.;с 10.00 до 19.00.
Город 312;79771693045;matisaev64@yandex.ru;Москва и область;;
Городское Троицк;79037900582;7900582@gmail.com;Москва и область;ул. Дмитрия Кабалевского, д. 22.;Круглосуточно.
Гранд-Авто;79263470779;;Москва и область;;
ГУДВЕЙ;79266960044;;Москва и область;ул. Ярославская, д. 8к6.;с 10.00 до 18.00.
ДАКС АЛ;79684515051;Taxi4est@yandex.ru;Москва и область;г. Москва, ул. Марии Поливановой, д. 9, этаж 2, кабинет 1;с 10.00 до 18.00.
Династия;79859777249;and.timonin2018@ya.ru;Москва и область;ул. Средняя Калитниковская, д.28 стр 2;9.00 до 18.00.
Диспетчерская служба такси Спринт;79269242816;sprint-taxi01@mail.ru;Москва и область;;
ДИСЭНТ РЭЙТ;79997684470;decentrate@yandex.ru;Москва и область;ул. 1-й Варшавский проезд, д. 1А стр.30.;с 9.00 до 21.00.
ДоДома;79250734246;bbamo@yandex.ru;Москва и область;;
Долфер;79099504093;demikhow@bk.ru;Москва и область;ул. 23 км Калужского шоссе, д.14с3;с 11.00 до 17.00.
Дом;79262771216;taxi1dom@yandex.ru;Москва и область;ул. 2-ая Карачаровская 1с1.;с 10.00 до 20.00.
Драйв Такси;79652130707;drive.guseynov@yandex.ru;Москва и область;;
ДС Апельсин;79269996836;ruapelsin@gmail.com;Москва и область;;
Душанбинка;79647759840;dushanbinka.taxi@yandex.ru;Москва и область;ул. Верхнелихоборская, д. 11с5.;с 9.00 до 20.00.
ЕВРОПАРТНЕР;79646404753;evropartner1977@bk.ru;Москва и область;;
Евростандарт;74952233323;eurostandart.t@yandex.ru;Москва и область;Москва, ул. Генерала Белобородова 42 стр. 1;с 9.00 до 18.00.
Екатерина;79774719908;sutormina85@mail.ru;Москва и область;;
Желтый Кот;79855060201;Kp.orgs@yandex.ru;Москва и область;;
ЖОРУ;79647718003;toha010884@mail.ru;Москва и область;;
Завидное Такси;79168364646;Info@zavidnoe-taxi.ru;Москва и область;;
Заказы МСК;74997033303;avenu168756@yandex.ru;Москва и область;ул. Старокалужское шоссе, д. 64, стр. 9.;с 9.00 до 18.00.
Извозчикъ;79261074289;;Москва и область;;с 9.00 до 20.00, Пн-Пт, с 10.00 до 18.00, Сб-Вс.
ИП Айнуллина Р.С.;79299083388;;Москва и область;ул. Алтуфьевское шоссе, д. 48к2.;с 10.00 до 18.00 , Пн-Пт.
ИП Акимов Вячеслав Юрьевич;79255076145;Akimov-v@yandex.ru;Москва и область;ул. Крылатская, д. 8.;с 9.00 до 18.00.
ИП Алавердян В А;79103125671;wolf2011a@yandex.ru;Москва и область;;
ИП Ампилова;79168297111;Oleg.amp@yandex.ru;Москва и область;ул. 7-я Кожуховская, д. 5Б;с 10.00 до 18.00.
ИП Артемов;79267157377;ram.taxi555@yandex.ru;Москва и область;;
ИП Асташкин Ярослав Андреевич;79671402109;Astax8@mail.ru;Москва и область;ул. Ивана Франко,  д. 4к16.;с 10.00 до 22.00.
ИП Бекбердиева Наргиза Азатовна;79251717210;yataxi15229737@yandex.ru;Москва и область;;
ИП Беляев А.А.;74959781890;gud@g-e-t.ru;Москва и область;ул. Речников, д. 19,  офис 6.;с 09.00 до 13.00.
ИП Борисов С.А.;79163904373;luxeyou@yandex.ru;Москва и область;;
ИП Буланов Артур Геннадьевич;79017571075;info@avtomotors-taxi.com;Москва и область;г. Москва, ул. Анненский проезд, д. 1, стр. 20;с 10.00 до 18.00, Пн-Вс.
ип варжапетян самвел арташесович;79670608800;Varzhapetyans@yamdex.ru;Москва и область;ул. Рябиновая,  д. 14А.;с 9.00 до 19.00.
ИП Гераськин Сергей Иванович;79639981153;;Москва и область;ул. Бескудниковский бульвар, д. 24к1;
ИП Глоян;79637680871;ubmos@yandex.ru;Москва и область;;
ИП Григорян;79250637224;arutgrigoryan24@mail.ru;Москва и область;;
ИП Дудкин И.П.;79150404045;ildudkin@yandex.ru;Москва и область;;
ИП Дядиченко;79859910837;day72@bk.ru;Москва и область;;
ИП Захарян Г.З.;79100023322;taxisoiuz@yandex.ru;Москва и область;ул. Березовой Рощи пр-д, д.12;с 08.00 до 23.00
ИП Иванова Наталья Леонидовна;79035557537;ivanova-0707@yandex.ru;Москва и область;;
ИП Ивантеев;79856415419;dmiv1965@yandex.ru;Москва и область;ул. Удальцова, д. 36.;с 10.00 до 20.00.
ИП Карапетян Вачаган Грачинович;79057878111;vachag51@yandex.ru;Москва и область;г. Москва, ул. Толбухина, д.9, корп. 1, офис 2;Круглосуточно.
ИП Крупнов Д.А.;79035538666;Jobtaxi@yandex.ru;Москва и область;;
ИП Крюкова Елена Александрова;79998000204;age324@yandex.ru;Москва и область;ул.Рябиновая, д.44, оф. 409;с 10.00 до 19.00
ИП Маджидов;792673883882;mr.bahrombek@mail.ru;Москва и область;;
ИП Мамасыдыков Зарылбек Маликович;79258907083;zarylbek8080@mail.ru;Москва и область;;
ИП Марин ДС;79859580195;taximsc@yandex.ru;Москва и область;ул. Лихоборская набережная, д. 13.;с 9.00 до 18.00.
ИП Мельничук А.Б.;79670256999;ip.andrey.melnichuk@yandex.ru;Москва и область;ул. Рублевское шоссе,  д. 64к2.;с 10.00 до 20.00.
ИП Михайлова А.С.;79999071810;taximihaylova@yandex.ru;Москва и область;;
ИП Мустакимов Р. И.;79067942579;www-raf@yandex.ru;Москва и область;;
ИП Налётова;79255390697;kovcheg1977@yandex.ru;Москва и область;;
ИП Оганесян О.А.;79645399133;;Москва и область;;
ИП Пальцев;79269014048;Mil_0606@mail.ru;Москва и область;ул. Коровинское ш., д. 2А.;
ИП Плугарев Денис;74994901189;tkanareyka@inbox.ru;Москва и область;ул. Новогиреевская, д. 26.;с. 10.00 до 18.00.
ИП Степанян;74959889963;info@pegas-taxi.net;Москва и область;;
ИП Сухарев Павел Петрович;79197611111;84959729211@mail.ru;Москва и область;ул. Вешних вод, д. 4.;с 10.00 до 22.00, Пн-Пт.
ИП Токов Ренат Идрисович;79364440901;rentokov@yandex.ru;Москва и область;;
ИП Хлюстов А.Ф.;79685512345;sasha_job@inbox.ru;Москва и область;ул. Куликовская, д. 5.;Круглосуточно.
ИП Чечётин С.А.;79251984183;sergejaleksandrovich88@yandex.ru;Москва и область;;
ИП Чобанян Давид Мгерович;79175575505;shobanyan@yandex.ru;Москва и область;ул. Нижеская, д. 86Б.;с 10.00 до 22.00.
ИП Шеплякова В.А.;79204349101;avtogaz-msk@yandex.ru;Москва и область;ул. Адмирала Руднева, д.20, офис 711;с 10.00 до 18.00.
ИП Шестопалова;79652355353;Shest0palovao@yandex.ru;Москва и область;;
ип шибко а.а;79680834828;;Москва и область;г. Химки, ул. Рабочая, д. 2а стр 95;с 10.00 до 16.00.
ИП Шишкина Татьяна Анатольевна;79857663597;dmitriii33@yandex.ru;Москва и область;;
ИП Щербаков И.В.;79164552640;;Москва и область;;
КАКТУС;79519110229;rafailizmailovitch@yandex.ru;Москва и область;;
Карабах;79261351365;rbabaev15197741@yandex.ru;Москва и область;;
карат_коломна;79858585518;karat.kolomna@yandex.ru;Москва и область;;
Кармен;79859610809;arm3587@yandex.ru;Москва и область;;
Карсаг;79687884182;saghoyan0101@gmail.com;Москва и область;;
КИНГ-ТАКСИ;79779301523;gul.bahor2017@yandex.ru;Москва и область;;
Коломенское такси;79152021780;Kolomnataxi@yandex.ru;Москва и область;;
Командир-СП;79015447766;blakovkir@gmail.com;Москва и область;;
Комиссар Москва;79251445060;taxi.taxirait@yandex.ru;Москва и область;Москва ул. Каланчевская 32;с 9.00 до 16.00, Пн-Пт.
Комфорт;79162588609;79162588609@yandex.ru;Москва и область;;
Комфорт;74954800883;rsm.aslanyan@gmail.com;Москва и область;ул. Абрамцевская, д. 8.;с 10.00 до 19.00.
КОСМОС-С;79999762468;taxi-cosmos@yandex.ru;Москва и область;;
Кучер;79030049444;ku4er2019@yandex.ru;Москва и область;;
Кarlsonauto;79037131212;;Москва и область;;
Лайк_Такси;7926135024;kozlow.vasily@yandex.ru;Москва и область;;
Лайф-Такси;79257556360;park@indigo-taxi.ru;Москва и область;ул. Щелковское шоссе, д. 100.;
Лебедь;79251417778;cherniy83@bk.ru;Москва и область;ул. Генерала Белобородова, д. 44к5.;с 10.00 до 19.00.
Леки;79224393449;Babaevrinat29@yandex.ru;Москва и область;;
Лидер;79167699305;Arusinov89@yandex.ru;Москва и область;ул.Плеханова, д. 17с11;с 09.00 до 22.00.
Лидер М;79268287403;Borich21@ya.ru;Москва и область;;
Логикер;79258018200;logikernf@yandex.ru;Москва и область;;
Лотта;79151010111;9996855@gmail.com;Москва и область;"ул. Горбунова, д. 12к2с8 
Офис 311";с 9.00  до  21.00.
ЛуИд;79777958158;Bairta.luganko@yandex.ru;Москва и область;ул. Гарибальди, д.36;с 10.00 до 18.00, Пн-Пт.
М-8 Холмогоры;74957601004;tk-svita@yandex.ru;Москва и область;ул. Хибинский проезд, офис 411;с 10.00 до 18.00.
Маджести;79168338783;RusOff58@yandex.ru;Москва и область;ул. Плеханова, д.10.;с 09.00 до 17.00, Пн-Пт.
Макс такси;79252234478;info@taxi-dispetcher.ru;Москва и область;;
Максимус;79635908767;Askerbek0795@mail.ru;Москва и область;;
Макстакси;79858170602;Maxvtaxi@yandex.ru;Москва и область;ул. Джамгаровская, д. 5с1, офис 13.;с 10.00 до 18.00.
Маркет;74955321775;market-msk483546@yandex.ru;Москва и область;ул. Бориса Жигуленкова, д. 25к1.;с 9.00 до 18.00.
Марсель;74959259494;yamarsel18@yandex.ru;Москва и область;г.Москва ул. Барышиха д.39А;с 10.00  до  20.00.
Марта;79199997500;Mart-taxi-18@yandex.ru;Москва и область;ул. Егорьевский проезд, д.3Жс8;с 10.00 до 22.00, Пн-Сб.
МВФ-Трейд;79299878074;cool.extrasmart@yandex.ru;Москва и область;ул. Немчинова, д. 4.;с 10:00 до 19:00, Пн-Пт.
Милена;79253730784;norik2701@gmail.com;Москва и область;;
МИНАВТО;79262346226;andreyaleks80@yandex.ru;Москва и область;ул. Островитянова, д. 4.;с 10.00 до 19.00.
МИНУТКА;79265555614;minutka.taxopark@yandex.ru;Москва и область;;
Мир Такси;78003508332;info@mirtaxi.com;Москва и область;;
Мир Такси;79251529130;mirtaxi77@gmail.com;Москва и область;;
МИР Такси;79994507762;mirtaximsk@yandex.ru;Москва и область;;
Мир-KG;79060866970;Orozaliev.mirbek@yandex.ru;Москва и область;;
МИРАКС;79858452645;taximirax@yandex.ru;Москва и область;ул. Ратная, д. 16, корп. 3.;с 10.00 до 18.00.
Мирят;79017769471;miryat@yandex.ru;Москва и область;;
МИТОС-МТ;79654223161;metosmt@yandex.ru;Москва и область;г. Зеленоград, ул. Алабушевская стр.1;с 10.00 до 18.00, Пн-Пт, с 12.00 до 15.00, Сб-Вс.
МО-такси;74991123335;mo-taxi@yandex.ru;Москва и область;;
МосГосТакси;79778474336;mosgostaxi@mail.ru;Москва и область;г. Москва ул. Автомобильный проезд, д. 4, офис 341;с 10.00 до 19.00.
Москлаб;79671923493;mosklabtaxi@yandex.ru;Москва и область;ул. Сельскохозяйственная, д. 45А.;с 11.00 до 17.00.
Мособлтакси;79653484919;van08@yandex.ru;Москва и область;;
МСК профитгрупп;79037476053;strim.tk@yandex.ru;Москва и область;ул. Волгоградский пр-т,  д.32к13.;с 9.00 до 18.00.
МСК-ФОРТУНА;79857636989;alex4t@mail.ru;Москва и область;Старый Петровско-Разумовский проезд, д. 1/23 корп.4, оф. 301 А;с 11.00 до 20.00.
МТ-Сервис;79852928329;taxi.mtservis@yandex.ru;Москва и область;;
МЭР;79269031337;mer-taxi@yandex.ru;Москва и область;ул. Грина, д. 3к2;с 10.00. до 19.00.
Надежда;79661107107;Taksivsegda@yandex.ru;Москва и область;Балашиха ул.Некрасова 12 оф 101;с 9.00 до 18.00.
НаТакси.Москва;74994990149;nataximoskwa@yandex.ru;Москва и область;;
Нидоран;7967777090;diablez@yandex.ru;Москва и область;ул. Селигерская, д. 18Б.;с 10.00 до 22.00.
Николаева Ю.В.;79160061785;jun-2005@yandex.ru;Москва и область;;
НКТ;79055771177;kakhabernozadze@yandex.ru;Москва и область;;
Нотвин;79251589665;alexei.dvoryankov@yandex.ru;Москва и область;;
Общество Российских Таксистов (ОРТ);79296287668;ben91ben@yandex.ru;Москва и область;;
Огни столицы;79688667726;ogstol@yandex.ru;Москва и область;ул. Волоколамское шоссе, д. 114к2с2;с 9.00 до 19.00, Пн-Пт.
ОЛИМП;79254354675;4354675@gmail.com;Москва и область;;
"ООО ""Авиа-1""";74951964410;aavia-1@yandex.ru;Москва и область;г. Красногорск, ул. Спасская, д. 1кА, 2 этаж;с 10.00 до 19.00.
"ООО ""Вектор""";79675645683;skout3@yandex.ru;Москва и область;ул. Кулаков переулок,  д. 6.;с 9.00 до 18.00.
"ООО ""Джи Ви""";74964636493;jvram@yandex.ru;Москва и область;ул. Рабочая, д. 2,  офис 7;с 10.00 до 18.00.
"ООО ""ДОБРОДЕЛ""";79153711888;9165399000@mail.ru;Москва и область;ул. Александры Монаховой, д.92, к.1.;с 8.00 до 22.00.
"ООО ""Драйв Линк""";74951202355;drive-link@yandex.ru;Москва и область;г. Москва, ул. Палехская, д. 131;с 9.00 до 19.00, Пн-Пт.
"ООО ""Мираж-М""";79013675456;mirazhtaxi@yandex.ru;Москва и область;;
"ООО ""Транскомп""";79645034545;transckomp@yandex.ru;Москва и область;;
"ООО ""Три слова""";74951505891;gk@3slova.com;Москва и область;Бережковская наб., д. 20 стр. 64, офис 78;Круглосуточно.
"ООО ""ФАРТ-КАР""";79671041010;fart-car@yandex.ru;Москва и область;ул. Лихоборская набережная,  д.6.;с 12.00 до 19.00.
ООО «Очаково-Планета»;79165784117;haladova.arbeta@yandex.ru;Москва и область;г. Москва, ул. Наташи Ковшовой д16;с 11.00 до 20.00.
ООО «Первое Такси»;74956419779;info@pervoe.taxi;Москва и область;;
ООО МЕЧТА;79055111001;DreamTax@yandex.ru;Москва и область;ул. Живописная, д. 21к3.;с 8.30 до 16.30.
ООО ПЕРВЫЙ ТАКСОМОТОРНЫЙ ПАРК;79165113330;nogtaksopark@yandex.ru;Москва и область;;
ООО РЕАЛ;74996499845;info@real-taxi.ru;Москва и область;ул. Одесская, д. 6, офис 4.;с 9.00 до 18.00.
Ордо;79267088859;g-m_84@mail.ru;Москва и область;;
Орион;79067777793;valvashev@yandex.ru;Москва и область;;
Открытие М;79162344505;hjuhdnat@mail.ru;Москва и область;ул. Поречная,  д.3к1.;Круглосуточно.
Паритет такси;79260358305;taxi.paritettaxi@yandex.ru;Москва и область;;
парк1788;79252238555;saxony79@yandex.ru;Москва и область;;
Паркин Партнёр;79253000780;info@parkin-partner.ru;Москва и область;;
Партнер Москва;79920291122;partner.taxi@bk.ru;Москва и область;;
ПАРТНЕР+;74991108070;gbstaxi@ya.ru;Москва и область;;
Питон_М;79267678899;taxi.fcity@yandex.ru;Москва и область;;
Платина;79165160334;zvyagintsev-is@yandex.ru;Москва и область;;
Плутос-мск;79266629311;boik.denis193@yandex.ru;Москва и область;ул.Парковая, д.11;с 9.00 до 22.00.
ПОВЕЗЁТ;79013326136;Povezet18@yandex.ru;Москва и область;;
Попутчик;74956644987;hmustafo@yandex.ru;Москва и область;;
Посадский извозчикъ;79999621931;posad.izvoz@yandex.ru;Москва и область;Московская область, город Павловский Посад ул. 1-ая Мишутинская д.76;с 9.00 до 18.00.
ПРАЙМ ПЛЮС;79858005545;y99946977@yandex.ru;Москва и область;ул. Верхнелихоборская, д. 8А.;с 10.00 до 18.00.
Премьер;79251011041;pioneer-mvs@ya.ru;Москва и область;;
Престиж;79263456825;mister.harrison@yandex.ru;Москва и область;;
Престиж;79017162868;k.mahmudova1310@yandex.ru;Москва и область;;
ПРЕСТИЖ +;79093628838;diol-lux@yandex.ru;Москва и область;ул. пр-т Московский, д.7;с 8.00 до 22.00.
Рай Такси;79038444446;info@RayTaxi.ru;Москва и область;;
Регион 799;79254364324;region.799@yandex.ru;Москва и область;ул. Сельскохозяйственная, д.64А.;с 10.00 до 21.00.
Рент;79035307398;taxi-rent@yandex.ru;Москва и область;г.Москва, ул.Потешная, д.6/2 стр.18;с 10.00 до 20.00, Пн-Пт.
РИОНЕЛЬ;79950000804;gory-gena@yandex.ru;Москва и область;ул. Бибиревская, д. 2А.;с 12.00 до 19.00.
Рублевское Такси;79645601441;RUBLEVKA-INFORM@yandex.ru;Москва и область;;
Русский путь;79629622020;kr.taxi@mail.ru;Москва и область;;
РФ 24;79858148957;IP.Tkachyov;Москва и область;;
Сапсан Дубна;79652701752;Sergsergeev78@yandex.ru;Москва и область;;
Сафари;79647088880;Safyanvt@yandex.ru;Москва и область;г. Москва, ул.Толбухина 9 к1 оф5;с 10.00 по 21.00.
СВ-такси;79153123428;sv.taxi77@yandex.ru;Москва и область;;
СЕРВАД;79035518008;Servead@yandex.ru;Москва и область;;
"Сервис-клуб ""Таксист""";74957722858;info@taxist.info;Москва и область;ул. Багратионовский пр-д, д.12А, офис 25;с 10.00 до 19.00.
